graph_number,is_bipartite,num_edges,diameter,clique_num,is_distance_regular,is_eulerian,cut_vertice_list,num_cut_vertices,cycle_basis,degree_sequence,aut_group_generator,grp_size_1,orbits,num_orbits,3_cycle_size_str,4_cycle_size_str,5_cycle_size_str,6_cycle_size_str,7_cycle_size_str
844, False ,16,2,5, False , False , [] ,0," [[2, 6, 0], [3, 6, 0], [4, 6, 0], [5, 6, 0], [2, 5, 0], [4, 5, 0], [2, 1, 5], [3, 1, 5, 0], [4, 1, 5], [2, 4, 0]] "," [(0, 5), (1, 4), (2, 5), (3, 3), (4, 5), (5, 5), (6, 5)] "," [[6, 1, 2, 3, 4, 5, 0], [0, 1, 2, 3, 5, 4, 6], [0, 1, 4, 3, 2, 5, 6]] ",12," [0, 1, 2, 3, 2, 2, 0] ",4,9,1,0,0,0
845, False ,16,2,5, False , False , [] ,0," [[2, 6, 0], [4, 6, 0], [5, 6, 0], [2, 1, 6], [3, 1, 6, 0], [4, 1, 6], [5, 1, 6], [2, 5, 0], [4, 5, 0], [2, 4, 0]] "," [(0, 5), (1, 5), (2, 5), (3, 2), (4, 5), (5, 5), (6, 5)] "," [[0, 1, 2, 3, 4, 6, 5], [0, 1, 2, 3, 5, 4, 6], [0, 1, 4, 3, 2, 5, 6], [1, 0, 2, 3, 4, 5, 6]] ",48," [0, 0, 2, 3, 2, 2, 2] ",3,9,1,0,0,0
846, False ,16,2,4, False , False , [] ,0," [[2, 6, 0], [3, 6, 0], [4, 6, 0], [2, 1, 6], [3, 1, 6], [4, 1, 6], [5, 1, 6, 0], [2, 5, 0], [4, 5, 0], [2, 4, 0]] "," [(0, 5), (1, 5), (2, 5), (3, 3), (4, 5), (5, 4), (6, 5)] "," [[0, 1, 4, 3, 2, 5, 6], [1, 0, 2, 3, 4, 5, 6]] ",4," [0, 0, 2, 3, 2, 5, 6] ",5,9,1,0,0,0
847, False ,17,2,5, False , False , [] ,0," [[2, 6, 0], [3, 6, 0], [4, 6, 0], [5, 6, 0], [2, 1, 6], [3, 1, 6], [4, 1, 6], [5, 1, 6], [2, 5, 0], [4, 5, 0], [2, 4, 0]] "," [(0, 5), (1, 5), (2, 5), (3, 3), (4, 5), (5, 5), (6, 6)] "," [[0, 1, 2, 3, 5, 4, 6], [0, 1, 4, 3, 2, 5, 6], [1, 0, 2, 3, 4, 5, 6]] ",12," [0, 0, 2, 3, 2, 2, 6] ",4,11,0,0,0,0
848, False ,18,2,5, False , False , [] ,0," [[2, 6, 0], [3, 6, 0], [4, 6, 0], [5, 6, 0], [2, 1, 6], [3, 1, 6], [4, 1, 6], [5, 1, 6], [2, 5, 0], [3, 5, 0], [4, 5, 0], [2, 4, 0]] "," [(0, 5), (1, 5), (2, 5), (3, 4), (4, 5), (5, 6), (6, 6)] "," [[0, 1, 2, 3, 4, 6, 5], [0, 1, 4, 3, 2, 5, 6], [1, 0, 2, 3, 4, 5, 6]] ",8," [0, 0, 2, 3, 2, 5, 5] ",4,12,0,0,0,0
34, False ,7,4,3, False , False ," [5, 1, 6] ",3," [[4, 6, 0]] "," [(0, 2), (1, 2), (2, 1), (3, 1), (4, 2), (5, 3), (6, 3)] "," [[4, 1, 2, 3, 0, 5, 6], [0, 1, 3, 2, 4, 5, 6]] ",4," [0, 1, 2, 2, 0, 5, 6] ",5,1,0,0,0,0
849, False ,17,2,4, False , False , [] ,0," [[2, 6, 0], [3, 6, 0], [4, 6, 0], [2, 1, 6], [3, 1, 6], [4, 1, 6], [5, 1, 6, 0], [2, 5, 0], [3, 5, 0], [2, 4, 0], [3, 4, 0]] "," [(0, 5), (1, 5), (2, 5), (3, 5), (4, 5), (5, 4), (6, 5)] "," [[0, 1, 2, 3, 6, 5, 4], [0, 1, 3, 2, 4, 5, 6], [1, 0, 2, 3, 4, 5, 6], [2, 3, 0, 1, 4, 5, 6]] ",16," [0, 0, 0, 0, 4, 5, 4] ",3,10,1,0,0,0
850, False ,18,2,4, False , False , [] ,0," [[2, 6, 0], [3, 6, 0], [4, 6, 0], [5, 6, 0], [2, 1, 6], [3, 1, 6], [4, 1, 6], [5, 1, 6], [2, 5, 0], [3, 5, 0], [2, 4, 0], [3, 4, 0]] "," [(0, 5), (1, 5), (2, 5), (3, 5), (4, 5), (5, 5), (6, 6)] "," [[0, 1, 2, 3, 5, 4, 6], [0, 1, 3, 2, 4, 5, 6], [0, 1, 4, 5, 2, 3, 6], [1, 0, 2, 3, 4, 5, 6], [2, 3, 0, 1, 4, 5, 6]] ",48," [0, 0, 0, 0, 0, 0, 6] ",2,12,0,0,0,0
851, False ,19,2,5, False , False , [] ,0," [[2, 6, 0], [3, 6, 0], [4, 6, 0], [5, 6, 0], [2, 1, 6], [3, 1, 6], [4, 1, 6], [5, 1, 6], [2, 5, 0], [3, 5, 0], [4, 5, 0], [2, 4, 0], [3, 4, 0]] "," [(0, 5), (1, 5), (2, 5), (3, 5), (4, 6), (5, 6), (6, 6)] "," [[0, 1, 2, 3, 4, 6, 5], [0, 1, 2, 3, 5, 4, 6], [0, 1, 3, 2, 4, 5, 6], [1, 0, 2, 3, 4, 5, 6], [2, 3, 0, 1, 4, 5, 6]] ",48," [0, 0, 0, 0, 4, 4, 4] ",2,13,0,0,0,0
852, False ,20,2,6, False , False , [] ,0," [[2, 6, 0], [3, 6, 0], [4, 6, 0], [5, 6, 0], [2, 1, 6], [3, 1, 6], [4, 1, 6], [5, 1, 6], [2, 5, 0], [3, 5, 0], [4, 5, 0], [2, 4, 0], [3, 4, 0], [2, 3, 0]] "," [(0, 5), (1, 5), (2, 6), (3, 6), (4, 6), (5, 6), (6, 6)] "," [[0, 1, 2, 3, 4, 6, 5], [0, 1, 2, 3, 5, 4, 6], [0, 1, 2, 4, 3, 5, 6], [0, 1, 3, 2, 4, 5, 6], [1, 0, 2, 3, 4, 5, 6]] ",240," [0, 0, 2, 2, 2, 2, 2] ",2,14,0,0,0,0
